,Input,Output
0,"(15, 1, 1, 5)",2
1,"(15, 1, 1, 6)",2
2,"(15, 1, 1, 7)",2
3,"(15, 1, 1, 8)",2
4,"(15, 1, 1, 9)",2
5,"(15, 1, 1, 10)",2
6,"(15, 1, 1, 11)",2
7,"(15, 1, 1, 12)",2
8,"(15, 1, 1, 13)",2
9,"(15, 1, 1, 14)",2
10,"(15, 1, 2, 5)",2
11,"(15, 1, 2, 6)",2
12,"(15, 1, 2, 7)",2
13,"(15, 1, 2, 8)",2
14,"(15, 1, 2, 9)",2
15,"(15, 1, 2, 10)",2
16,"(15, 1, 2, 11)",2
17,"(15, 1, 2, 12)",2
18,"(15, 1, 2, 13)",2
19,"(15, 1, 2, 14)",2
20,"(15, 1, 3, 5)",2
21,"(15, 1, 3, 6)",2
22,"(15, 1, 3, 7)",2
23,"(15, 1, 3, 8)",2
24,"(15, 1, 3, 9)",2
25,"(15, 1, 3, 10)",2
26,"(15, 1, 3, 11)",2
27,"(15, 1, 3, 12)",2
28,"(15, 1, 3, 13)",2
29,"(15, 1, 3, 14)",2
30,"(15, 1, 4, 5)",1
31,"(15, 1, 4, 6)",1
32,"(15, 1, 4, 7)",2
33,"(15, 1, 4, 8)",2
34,"(15, 1, 4, 9)",2
35,"(15, 1, 4, 10)",2
36,"(15, 1, 4, 11)",2
37,"(15, 1, 4, 12)",2
38,"(15, 1, 4, 13)",2
39,"(15, 1, 4, 14)",2
40,"(15, 1, 5, 5)",2
41,"(15, 1, 5, 6)",2
42,"(15, 1, 5, 7)",1
43,"(15, 1, 5, 8)",2
44,"(15, 1, 5, 9)",2
45,"(15, 1, 5, 10)",2
46,"(15, 1, 5, 11)",2
47,"(15, 1, 5, 12)",2
48,"(15, 1, 5, 13)",2
49,"(15, 1, 5, 14)",2
50,"(15, 2, 1, 5)",2
51,"(15, 2, 1, 6)",2
52,"(15, 2, 1, 7)",2
53,"(15, 2, 1, 8)",2
54,"(15, 2, 1, 9)",2
55,"(15, 2, 1, 10)",2
56,"(15, 2, 1, 11)",2
57,"(15, 2, 1, 12)",2
58,"(15, 2, 1, 13)",2
59,"(15, 2, 1, 14)",2
60,"(15, 2, 2, 5)",2
61,"(15, 2, 2, 6)",2
62,"(15, 2, 2, 7)",2
63,"(15, 2, 2, 8)",2
64,"(15, 2, 2, 9)",2
65,"(15, 2, 2, 10)",2
66,"(15, 2, 2, 11)",2
67,"(15, 2, 2, 12)",2
68,"(15, 2, 2, 13)",2
69,"(15, 2, 2, 14)",2
70,"(15, 2, 3, 5)",2
71,"(15, 2, 3, 6)",2
72,"(15, 2, 3, 7)",2
73,"(15, 2, 3, 8)",2
74,"(15, 2, 3, 9)",2
75,"(15, 2, 3, 10)",2
76,"(15, 2, 3, 11)",2
77,"(15, 2, 3, 12)",2
78,"(15, 2, 3, 13)",2
79,"(15, 2, 3, 14)",2
80,"(15, 2, 4, 5)",1
81,"(15, 2, 4, 6)",1
82,"(15, 2, 4, 7)",2
83,"(15, 2, 4, 8)",2
84,"(15, 2, 4, 9)",2
85,"(15, 2, 4, 10)",2
86,"(15, 2, 4, 11)",2
87,"(15, 2, 4, 12)",2
88,"(15, 2, 4, 13)",2
89,"(15, 2, 4, 14)",2
90,"(15, 2, 5, 5)",2
91,"(15, 2, 5, 6)",1
92,"(15, 2, 5, 7)",1
93,"(15, 2, 5, 8)",2
94,"(15, 2, 5, 9)",2
95,"(15, 2, 5, 10)",2
96,"(15, 2, 5, 11)",2
97,"(15, 2, 5, 12)",2
98,"(15, 2, 5, 13)",2
99,"(15, 2, 5, 14)",2
100,"(15, 3, 1, 5)",2
101,"(15, 3, 1, 6)",2
102,"(15, 3, 1, 7)",2
103,"(15, 3, 1, 8)",2
104,"(15, 3, 1, 9)",2
105,"(15, 3, 1, 10)",2
106,"(15, 3, 1, 11)",2
107,"(15, 3, 1, 12)",2
108,"(15, 3, 1, 13)",2
109,"(15, 3, 1, 14)",2
110,"(15, 3, 2, 5)",2
111,"(15, 3, 2, 6)",2
112,"(15, 3, 2, 7)",2
113,"(15, 3, 2, 8)",2
114,"(15, 3, 2, 9)",2
115,"(15, 3, 2, 10)",2
116,"(15, 3, 2, 11)",2
117,"(15, 3, 2, 12)",2
118,"(15, 3, 2, 13)",2
119,"(15, 3, 2, 14)",2
120,"(15, 3, 3, 5)",2
121,"(15, 3, 3, 6)",2
122,"(15, 3, 3, 7)",2
123,"(15, 3, 3, 8)",2
124,"(15, 3, 3, 9)",2
125,"(15, 3, 3, 10)",2
126,"(15, 3, 3, 11)",2
127,"(15, 3, 3, 12)",2
128,"(15, 3, 3, 13)",2
129,"(15, 3, 3, 14)",2
130,"(15, 3, 4, 5)",1
131,"(15, 3, 4, 6)",1
132,"(15, 3, 4, 7)",2
133,"(15, 3, 4, 8)",2
134,"(15, 3, 4, 9)",2
135,"(15, 3, 4, 10)",2
136,"(15, 3, 4, 11)",2
137,"(15, 3, 4, 12)",2
138,"(15, 3, 4, 13)",2
139,"(15, 3, 4, 14)",2
140,"(15, 3, 5, 5)",1
141,"(15, 3, 5, 6)",1
142,"(15, 3, 5, 7)",1
143,"(15, 3, 5, 8)",2
144,"(15, 3, 5, 9)",2
145,"(15, 3, 5, 10)",2
146,"(15, 3, 5, 11)",2
147,"(15, 3, 5, 12)",2
148,"(15, 3, 5, 13)",2
149,"(15, 3, 5, 14)",2
150,"(15, 4, 1, 5)",2
151,"(15, 4, 1, 6)",2
152,"(15, 4, 1, 7)",2
153,"(15, 4, 1, 8)",2
154,"(15, 4, 1, 9)",2
155,"(15, 4, 1, 10)",2
156,"(15, 4, 1, 11)",2
157,"(15, 4, 1, 12)",2
158,"(15, 4, 1, 13)",2
159,"(15, 4, 1, 14)",2
160,"(15, 4, 2, 5)",2
161,"(15, 4, 2, 6)",2
162,"(15, 4, 2, 7)",2
163,"(15, 4, 2, 8)",2
164,"(15, 4, 2, 9)",2
165,"(15, 4, 2, 10)",2
166,"(15, 4, 2, 11)",2
167,"(15, 4, 2, 12)",2
168,"(15, 4, 2, 13)",2
169,"(15, 4, 2, 14)",2
170,"(15, 4, 3, 5)",2
171,"(15, 4, 3, 6)",2
172,"(15, 4, 3, 7)",2
173,"(15, 4, 3, 8)",2
174,"(15, 4, 3, 9)",2
175,"(15, 4, 3, 10)",2
176,"(15, 4, 3, 11)",2
177,"(15, 4, 3, 12)",2
178,"(15, 4, 3, 13)",2
179,"(15, 4, 3, 14)",2
180,"(15, 4, 4, 5)",1
181,"(15, 4, 4, 6)",1
182,"(15, 4, 4, 7)",2
183,"(15, 4, 4, 8)",2
184,"(15, 4, 4, 9)",2
185,"(15, 4, 4, 10)",2
186,"(15, 4, 4, 11)",2
187,"(15, 4, 4, 12)",2
188,"(15, 4, 4, 13)",2
189,"(15, 4, 4, 14)",2
190,"(15, 4, 5, 5)",1
191,"(15, 4, 5, 6)",1
192,"(15, 4, 5, 7)",1
193,"(15, 4, 5, 8)",2
194,"(15, 4, 5, 9)",2
195,"(15, 4, 5, 10)",2
196,"(15, 4, 5, 11)",2
197,"(15, 4, 5, 12)",2
198,"(15, 4, 5, 13)",2
199,"(15, 4, 5, 14)",2
200,"(15, 5, 1, 5)",1
201,"(15, 5, 1, 6)",2
202,"(15, 5, 1, 7)",2
203,"(15, 5, 1, 8)",2
204,"(15, 5, 1, 9)",2
205,"(15, 5, 1, 10)",2
206,"(15, 5, 1, 11)",2
207,"(15, 5, 1, 12)",2
208,"(15, 5, 1, 13)",2
209,"(15, 5, 1, 14)",2
210,"(15, 5, 2, 5)",2
211,"(15, 5, 2, 6)",2
212,"(15, 5, 2, 7)",2
213,"(15, 5, 2, 8)",2
214,"(15, 5, 2, 9)",2
215,"(15, 5, 2, 10)",2
216,"(15, 5, 2, 11)",2
217,"(15, 5, 2, 12)",2
218,"(15, 5, 2, 13)",2
219,"(15, 5, 2, 14)",2
220,"(15, 5, 3, 5)",2
221,"(15, 5, 3, 6)",2
222,"(15, 5, 3, 7)",2
223,"(15, 5, 3, 8)",2
224,"(15, 5, 3, 9)",2
225,"(15, 5, 3, 10)",2
226,"(15, 5, 3, 11)",2
227,"(15, 5, 3, 12)",2
228,"(15, 5, 3, 13)",2
229,"(15, 5, 3, 14)",2
230,"(15, 5, 4, 5)",2
